year,party,value
2015,GPS,1.000000
2015,SP,12.000000
2015,CVP,13.000000
2015,GLP,0.000000
2015,FDP,13.000000
2015,BDP,1.000000
2015,SVP,5.000000
2015,Übrige,1.000000
2011,GPS,2.000000
2011,SP,11.000000
2011,CVP,13.000000
2011,GLP,2.000000
2011,FDP,11.000000
2011,BDP,1.000000
2011,SVP,5.000000
2011,Übrige,1.000000
2007,GPS,2.000000
2007,SP,9.000000
2007,CVP,15.000000
2007,GLP,1.000000
2007,FDP,12.000000
2007,BDP,0.000000
2007,SVP,7.000000
2007,Übrige,0.000000
2003,GPS,0.000000
2003,SP,9.000000
2003,CVP,15.000000
2003,GLP,0.000000
2003,FDP,14.000000
2003,BDP,0.000000
2003,SVP,8.000000
2003,Übrige,0.000000
1999,GPS,0.000000
1999,SP,6.000000
1999,CVP,15.000000
1999,GLP,0.000000
1999,FDP,17.000000
1999,BDP,0.000000
1999,SVP,7.000000
1999,Übrige,1.000000
1995,GPS,0.000000
1995,SP,5.000000
1995,CVP,16.000000
1995,GLP,0.000000
1995,FDP,17.000000
1995,BDP,0.000000
1995,SVP,5.000000
1995,Übrige,3.000000
1991,GPS,0.000000
1991,SP,3.000000
1991,CVP,16.000000
1991,GLP,0.000000
1991,FDP,18.000000
1991,BDP,0.000000
1991,SVP,4.000000
1991,Übrige,5.000000
1987,GPS,0.000000
1987,SP,5.000000
1987,CVP,19.000000
1987,GLP,0.000000
1987,FDP,14.000000
1987,BDP,0.000000
1987,SVP,4.000000
1987,Übrige,4.000000
